VOR_Picker,VOR_Lines,Date
269,40,2/27/2006
8005,27,2/27/2006
116,6,2/27/2006
116,11,2/27/2006
515,22,2/27/2006
116,22,2/27/2006
116,2,2/27/2006
437,26,2/27/2006
269,20,2/27/2006
458,29,2/27/2006
468,28,2/27/2006
515,25,2/27/2006
515,26,2/27/2006
469,30,2/27/2006
446,24,2/27/2006
269,30,2/27/2006
458,32,2/27/2006
116,11,2/27/2006
437,30,2/27/2006
469,26,2/27/2006
515,31,2/27/2006
458,38,2/27/2006
8005,24,2/27/2006
269,25,2/27/2006
468,26,2/27/2006
51,1,2/27/2006
282,52,2/27/2006
140,25,2/27/2006
498,25,2/27/2006
269,32,2/27/2006
116,1,2/27/2006
116,11,2/27/2006
469,21,2/27/2006
498,24,2/27/2006
455,35,2/27/2006
458,50,2/27/2006
116,16,2/27/2006
437,26,2/27/2006
468,21,2/27/2006
469,24,2/27/2006
268,2,2/27/2006
51,4,2/27/2006
268,1,2/27/2006
437,8,2/27/2006
262,4,2/27/2006
51,1,2/27/2006
446,20,2/27/2006
116,9,2/27/2006
116,2,2/27/2006
468,20,2/27/2006
8005,12,2/27/2006
455,19,2/27/2006
468,37,2/27/2006
8005,26,2/27/2006
437,23,2/27/2006
498,18,2/27/2006
282,30,2/27/2006
262,3,2/27/2006
468,30,2/27/2006
498,30,2/27/2006
140,25,2/27/2006
469,55,2/27/2006
282,29,2/27/2006
515,40,2/27/2006
437,44,2/27/2006
262,3,2/27/2006
458,21,2/27/2006
140,25,2/27/2006
269,17,2/27/2006
468,29,2/27/2006
8005,25,2/27/2006
116,2,2/27/2006
515,25,2/27/2006
116,23,2/27/2006
498,26,2/27/2006
515,43,2/27/2006
282,51,2/27/2006
469,50,2/27/2006
437,45,2/27/2006
282,26,2/28/2006
469,51,2/28/2006
468,44,2/28/2006
437,25,2/28/2006
515,25,2/28/2006
498,39,2/28/2006
51,2,2/28/2006
8006,27,2/28/2006
116,4,2/28/2006
116,9,2/28/2006
515,25,2/28/2006
269,29,2/28/2006
468,25,2/28/2006
262,5,2/28/2006
282,53,2/28/2006
262,2,2/28/2006
469,53,2/28/2006
498,45,2/28/2006
468,36,2/28/2006
262,1,2/28/2006
515,26,2/28/2006
437,49,2/28/2006
8006,5,2/28/2006
498,16,3/20/2006
468,41,3/20/2006
515,31,3/20/2006
116,2,3/20/2006
116,18,3/20/2006
498,35,3/20/2006
455,9,3/20/2006
464,52,3/20/2006
469`,57,3/20/2006
515,30,3/20/2006
140,27,3/20/2006
468,52,3/20/2006
165,1,3/20/2006
262,2,3/20/2006
455,39,3/20/2006
515,28,3/20/2006
464,56,3/20/2006
469,51,3/20/2006
282,41,3/20/2006
498,20,3/21/2006
469,25,3/21/2006
468,33,3/21/2006
437,26,3/21/2006
464,36,3/21/2006
269,43,3/21/2006
116,2,3/21/2006
116,13,3/21/2006
515,30,3/21/2006
268,3,3/21/2006
498,26,3/21/2006
455,27,3/21/2006
458,30,3/21/2006
116,10,3/21/2006
51,2,3/21/2006
464,37,3/21/2006
268,1,3/21/2006
455,32,3/21/2006
116,4,3/21/2006
116,16,3/21/2006
282,61,3/21/2006
469,50,3/21/2006
515,24,3/21/2006
458,23,3/21/2006
269,25,3/21/2006
51,2,3/21/2006
464,22,3/21/2006
437,30,3/21/2006
468,50,3/21/2006
464,38,3/21/2006
458,29,3/21/2006
498,26,3/21/2006
269,24,3/21/2006
515,58,3/21/2006
262,6,3/21/2006
437,49,3/21/2006
51,6,3/21/2006
116,31,3/21/2006
116,42,3/21/2006
116,93,3/21/2006
116,6,3/21/2006
437,50,3/21/2006
116,6,3/21/2006
116,19,3/21/2006
455,21,3/21/2006
458,12,3/21/2006
437,31,3/21/2006
464,30,3/21/2006
116,3,3/21/2006
116,23,3/21/2006
116,1,3/21/2006
116,8,3/21/2006
498,55,3/21/2006
458,42,3/21/2006
469,15,3/21/2006
515,20,3/21/2006
468,53,3/21/2006
282,56,3/21/2006
469,48,3/21/2006
282,55,3/21/2006
468,40,3/21/2006
51,1,3/21/2006
464,55,3/21/2006
116,1,3/21/2006
116,2,3/21/2006
262,2,3/21/2006
498,43,3/21/2006
469,55,3/21/2006
458,64,3/21/2006
437,52,3/21/2006
515,55,3/21/2006
269,25,3/21/2006
116,2,3/22/2006
116,7,3/22/2006
498,22,3/22/2006
468,26,3/22/2006
469,30,3/22/2006
269,34,3/22/2006
282,27,3/22/2006
437,24,3/22/2006
455,24,3/22/2006
515,24,3/22/2006
464,24,3/22/2006
458,44,3/22/2006
282,23,3/22/2006
498,38,3/22/2006
51,8,3/22/2006
116,17,3/22/2006
116,2,3/22/2006
468,25,3/22/2006
515,28,3/22/2006
437,36,3/22/2006
51,2,3/22/2006
116,13,3/22/2006
116,2,3/22/2006
51,2,3/22/2006
515,32,3/22/2006
437,25,3/22/2006
282,25,3/22/2006
469,25,3/22/2006
269,10,3/22/2006
458,21,3/22/2006
468,31,3/22/2006
498,29,3/22/2006
51,1,3/22/2006
165,1,3/22/2006
282,28,3/22/2006
437,60,3/22/2006
458,73,3/22/2006
116,31,3/22/2006
116,88,3/22/2006
116,85,3/22/2006
116,7,3/22/2006
51,11,3/22/2006
437,24,3/22/2006
116,2,3/22/2006
116,21,3/22/2006
464,67,3/22/2006
165,1,3/22/2006
116,2,3/22/2006
116,19,3/22/2006
464,10,3/22/2006
464,29,3/22/2006
469,22,3/22/2006
446,19,3/22/2006
464,26,3/22/2006
51,17,3/22/2006
498,55,3/22/2006
468,39,3/22/2006
469,50,3/22/2006
262,6,3/22/2006
116,3,3/22/2006
116,7,3/22/2006
51,1,3/22/2006
468,57,3/22/2006
282,52,3/22/2006
464,54,3/22/2006
116,2,3/22/2006
116,5,3/22/2006
498,27,3/22/2006
515,54,3/22/2006
140,25,3/22/2006
269,38,3/22/2006
116,1,3/22/2006
116,13,3/22/2006
515,39,3/22/2006
464,50,3/22/2006
282,50,3/22/2006
262,3,3/22/2006
515,56,3/22/2006
269,56,3/22/2006
437,52,3/22/2006
262,51,3/22/2006
469,56,3/22/2006
51,2,3/22/2006
469,49,3/22/2006
498,53,3/22/2006
282,53,3/22/2006
51,13,3/22/2006
437,17,3/22/2006
468,15,3/22/2006
284,24,3/23/2006
515,53,3/23/2006
464,49,3/23/2006
469,52,3/23/2006
116,5,3/23/2006
116,12,3/23/2006
282,79,3/23/2006
262,76,3/23/2006
515,27,3/23/2006
498,44,3/23/2006
464,25,3/23/2006
469,30,3/23/2006
116,11,3/23/2006
116,3,3/23/2006
51,1,3/23/2006
437,72,3/23/2006
469,48,3/23/2006
498,48,3/23/2006
469,26,3/23/2006
437,40,3/23/2006
282,55,3/23/2006
165,7,3/23/2006
469,23,3/23/2006
269,7,3/23/2006
282,22,3/23/2006
437,21,3/23/2006
116,9,3/23/2006
116,3,3/23/2006
51,3,3/23/2006
498,38,3/23/2006
446,22,3/23/2006
515,25,3/23/2006
458,39,3/23/2006
116,5,3/23/2006
464,10,3/23/2006
469,56,3/23/2006
51,2,3/23/2006
437,42,3/23/2006
51,4,3/23/2006
498,48,3/23/2006
116,6,3/23/2006
469,50,3/23/2006
458,39,3/23/2006
437,38,3/23/2006
116,19,3/23/2006
51,1,3/23/2006
464,24,3/23/2006
515,24,3/23/2006
455,34,3/23/2006
455,34,3/23/2006
498,25,3/23/2006
468,27,3/23/2006
469,23,3/23/2006
437,24,3/23/2006
116,90,3/23/2006
116,29,3/23/2006
116,2,3/23/2006
116,30,3/23/2006
15,21,3/23/2006
116,7,3/23/2006
116,11,3/23/2006
515,21,3/23/2006
116,7,3/23/2006
116,11,3/23/2006
515,21,3/23/2006
116,2,3/23/2006
116,19,3/23/2006
464,14,3/23/2006
51,1,3/23/2006
515,26,3/23/2006
464,14,3/23/2006
51,1,3/23/2006
515,26,3/23/2006
464,25,3/23/2006
446,27,3/23/2006
269,13,3/23/2006
515,42,3/23/2006
464,51,3/23/2006
458,80,3/23/2006
262,37,3/23/2006
282,63,3/23/2006
51,1,3/23/2006
262,19,3/23/2006
515,24,3/23/2006
269,40,3/23/2006
284,24,3/23/2006
269,32,3/23/2006
284,25,3/23/2006
116,24,3/24/2006
116,31,3/24/2006
116,34,3/24/2006
116,10,3/24/2006
116,6,3/24/2006
116,6,3/24/2006
116,2,3/24/2006
116,6,3/24/2006
469,42,3/24/2006
268,12,3/24/2006
269,49,3/24/2006
116,2,3/24/2006
116,1,3/24/2006
515,3,3/24/2006
437,22,3/24/2006
515,25,3/24/2006
262,3,3/24/2006
464,46,3/24/2006
515,57,3/24/2006
262,11,3/24/2006
437,51,3/24/2006
458,39,3/24/2006
469,49,3/24/2006
469,49,3/24/2006
262,10,3/24/2006
262,10,3/24/2006
116,1,3/24/2006
116,20,3/24/2006
262,22,3/24/2006
469,61,3/24/2006
437,35,3/24/2006
269,16,3/24/2006
437,14,3/24/2006
269,25,3/24/2006
469,23,3/24/2006
437,27,3/24/2006
464,28,3/24/2006
515,27,3/24/2006
269,26,3/24/2006
455,22,3/24/2006
458,19,3/24/2006
269,2,3/24/2006
116,2,3/24/2006
116,1,3/24/2006
515,26,3/24/2006
437,50,3/24/2006
458,11,3/24/2006
116,5,3/24/2006
498,25,3/24/2006
116,5,3/24/2006
515,23,3/24/2006
269,49,3/24/2006
437,31,3/24/2006
458,29,3/24/2006
469,25,3/24/2006
262,14,3/24/2006
498,28,3/24/2006
165,4,3/24/2006
269,50,3/24/2006
282,34,3/24/2006
116,5,3/24/2006
116,2,3/24/2006
498,40,3/24/2006
464,53,3/24/2006
282,62,3/24/2006
515,28,3/24/2006
269,26,3/24/2006
116,3,3/24/2006
116,7,3/24/2006
515,50,3/24/2006
464,53,3/24/2006
498,50,3/24/2006
282,28,3/24/2006
262,3,3/24/2006
116,42,3/27/2006
116,13,3/27/2006
116,51,3/27/2006
116,14,3/27/2006
116,19,3/27/2006
262,20,3/27/2006
269,36,3/27/2006
116,1,3/27/2006
116,11,3/27/2006
515,41,3/27/2006
269,26,3/27/2006
116,1,3/27/2006
116,23,3/27/2006
437,46,3/27/2006
262,48,3/27/2006
458,80,3/27/2006
282,84,3/27/2006
26,26,3/27/2006
140,26,3/27/2006
140,26,3/27/2006
116,4,3/27/2006
116,27,3/27/2006
38,1,3/27/2006
498,25,3/27/2006
269,25,3/27/2006
269,20,3/27/2006
437,23,3/27/2006
498,25,3/27/2006
515,26,3/27/2006
464,22,3/27/2006
437,53,3/27/2006
458,14,3/27/2006
455,17,3/27/2006
515,26,3/27/2006
269,47,3/27/2006
464,57,3/27/2006
116,15,3/27/2006
38,5,3/27/2006
116,10,3/27/2006
116,2,3/27/2006
458,36,3/27/2006
498,33,3/27/2006
464,62,3/27/2006
455,35,3/27/2006
282,51,3/27/2006
515,26,3/27/2006
165,1,3/27/2006
269,24,3/27/2006
140,27,3/27/2006
498,51,3/27/2006
515,55,3/27/2006
269,56,3/27/2006
446,50,3/27/2006
464,25,3/27/2006
38,4,3/27/2006
116,5,3/27/2006
116,3,3/27/2006
285,34,3/27/2006
203,58,3/27/2006
498,40,3/27/2006
455,15,3/27/2006
223,25,3/27/2006
262,55,3/27/2006
464,48,3/27/2006
515,51,3/27/2006
437,55,3/27/2006
285,16,3/27/2006
223,26,3/27/2006
455,13,3/27/2006
285,25,3/27/2006
26,25,3/27/2006
282,51,3/27/2006
203,28,3/27/2006
116,22,3/28/2006
116,53,3/28/2006
116,104,3/28/2006
116,6,3/28/2006
116,6,3/28/2006
116,1,3/28/2006
498,28,3/28/2006
38,6,3/28/2006
469,56,3/28/2006
437,44,3/28/2006
455,24,3/28/2006
116,2,3/28/2006
116,4,3/28/2006
464,57,3/28/2006
437,64,3/28/2006
269,32,3/28/2006
116,1,3/28/2006
116,15,3/28/2006
458,15,3/28/2006
469,36,3/28/2006
38,1,3/28/2006
269,32,3/28/2006
437,50,3/28/2006
262,50,3/28/2006
447,25,3/28/2006
116,9,3/28/2006
116,33,3/28/2006
282,50,3/28/2006
498,39,3/28/2006
437,65,3/28/2006
469,27,3/28/2006
446,54,3/28/2006
262,51,3/28/2006
458,37,3/28/2006
284,1,3/28/2006
269,29,3/28/2006
515,50,3/28/2006
116,5,3/28/2006
116,11,3/28/2006
498,22,3/28/2006
469,23,3/28/2006
437,22,3/28/2006
269,21,3/28/2006
464,24,3/28/2006
38,2,3/28/2006
458,30,3/28/2006
498,40,3/28/2006
116,6,3/28/2006
269,48,3/28/2006
262,32,3/28/2006
498,10,3/28/2006
116,48,3/28/2006
116,5,3/28/2006
498,44,3/28/2006
515,24,3/28/2006
458,23,3/28/2006
469,57,3/28/2006
38,3,3/28/2006
269,56,3/28/2006
515,50,3/28/2006
458,19,3/28/2006
446,44,3/28/2006
38,3,3/28/2006
458,45,3/28/2006
469,60,3/28/2006
269,15,3/28/2006
226,25,3/28/2006
26,50,3/28/2006
498,51,3/28/2006
437,30,3/28/2006
469,28,3/28/2006
469,55,3/29/2006
458,20,3/29/2006
282,53,3/29/2006
262,25,3/29/2006
38,2,3/29/2006
268,40,3/29/2006
116,19,3/29/2006
116,2,3/29/2006
469,50,3/29/2006
437,50,3/29/2006
498,50,3/29/2006
515,50,3/29/2006
458,55,3/29/2006
498,50,3/29/2006
116,3,3/29/2006
116,13,3/29/2006
469,64,3/29/2006
116,9,3/29/2006
269,27,3/29/2006
498,37,3/29/2006
469,66,3/29/2006
437,52,3/29/2006
38,3,3/29/2006
515,30,3/29/2006
116,8,3/29/2006
116,2,3/29/2006
455,62,3/29/2006
269,34,3/29/2006
498,31,3/29/2006
458,50,3/29/2006
469,50,3/29/2006
282,52,3/29/2006
165,1,3/29/2006
469,56,3/29/2006
26,24,3/29/2006
515,56,3/29/2006
437,44,3/29/2006
140,6,3/29/2006
116,4,3/29/2006
498,53,3/29/2006
116,12,3/29/2006
116,10,3/29/2006
116,181,3/29/2006
116,28,3/29/2006
269,61,3/29/2006
116,51,3/29/2006
116,15,3/29/2006
116,7,3/29/2006
38,19,3/29/2006
116,8,3/29/2006
116,3,3/29/2006
38,29,3/29/2006
116,2,3/29/2006
116,22,3/29/2006
458,24,3/29/2006
437,26,3/29/2006
458,21,3/29/2006
269,27,3/29/2006
262,59,3/29/2006
116,3,3/29/2006
116,12,3/29/2006
515,57,3/29/2006
437,56,3/29/2006
498,40,3/29/2006
455,48,3/29/2006
269,26,3/29/2006
116,1,3/29/2006
116,21,3/29/2006
282,54,3/29/2006
498,43,3/29/2006
223,22,3/29/2006
458,52,3/29/2006
116,10,3/29/2006
116,23,3/29/2006
223,29,3/29/2006
140,9,3/30/2006
116,13,3/30/2006
116,11,3/30/2006
38,28,3/30/2006
269,33,3/30/2006
116,11,3/30/2006
515,25,3/30/2006
269,25,3/30/2006
464,41,3/30/2006
8000,26,3/30/2006
262,40,3/30/2006
498,50,3/30/2006
116,54,3/30/2006
515,52,3/30/2006
464,21,3/30/2006
458,38,3/30/2006
464,33,3/30/2006
458,12,3/30/2006
38,2,3/30/2006
116,22,3/30/2006
38,28,3/30/2006
116,1,3/30/2006
464,34,3/30/2006
455,30,3/30/2006
458,36,3/30/2006
269,33,3/30/2006
116,13,3/30/2006
116,2,3/30/2006
116,102,3/30/2006
116,27,3/30/2006
116,35,3/30/2006
116,11,3/30/2006
437,22,3/31/2006
116,7,3/31/2006
469,19,3/31/2006
464,50,3/31/2006
437,30,3/31/2006
38,8,3/31/2006
116,2,3/31/2006
116,10,3/31/2006
455,34,3/31/2006
468,29,3/31/2006
464,50,3/31/2006
437,25,3/31/2006
8000,30,3/31/2006
437,25,3/31/2006
116,11,3/31/2006
464,41,3/31/2006
468,21,3/31/2006
446,20,3/31/2006
282,15,3/31/2006
469,25,3/31/2006
116,24,3/31/2006
116,9,3/31/2006
464,61,3/31/2006
464,30,3/31/2006
262,13,3/31/2006
116,2,3/31/2006
464,23,3/31/2006
515,37,3/31/2006
38,1,3/31/2006
469,31,3/31/2006
515,38,3/31/2006
282,58,3/31/2006
8000,33,3/31/2006
515,8,3/31/2006
469,60,3/31/2006
282,50,3/31/2006
458,48,3/31/2006
515,46,3/31/2006
468,33,3/31/2006
515,24,3/31/2006
116,23,3/31/2006
116,2,3/31/2006
469,30,3/31/2006
8000,23,3/31/2006
262,12,3/31/2006
458,38,3/31/2006
282,37,3/31/2006
464,28,3/31/2006
455,20,3/31/2006
116,13,3/31/2006
515,40,3/31/2006
38,2,3/31/2006
8000,30,3/31/2006
116,3,3/31/2006
8000,8,3/31/2006
515,22,3/31/2006
282,42,3/31/2006
116,16,3/31/2006
458,11,3/31/2006
468,22,3/31/2006
8000,30,3/31/2006
269,22,3/31/2006
464,24,3/31/2006
455,20,3/31/2006
268,8,3/31/2006
498,21,3/31/2006
116,52,3/31/2006
116,21,3/31/2006
116,29,3/31/2006
38,2,3/31/2006
515,8,3/31/2006
262,6,3/31/2006
282,12,4/3/2006
269,10,4/3/2006
464,22,4/3/2006
469,56,4/3/2006
458,36,4/3/2006
468,25,4/3/2006
282,53,4/3/2006
437,44,4/3/2006
282,21,4/3/2006
8000,20,4/3/2006
262,27,4/3/2006
469,51,4/3/2006
11+6,16,4/3/2006
4+64,56,4/3/2006
469,8,4/3/2006
468,33,4/3/2006
269,42,4/3/2006
38,4,4/3/2006
458,36,4/3/2006
468,27,4/3/2006
464,37,4/3/2006
269,24,4/3/2006
116,23,4/3/2006
468,25,4/3/2006
469,34,4/3/2006
458,15,4/3/2006
38,6,4/3/2006
262,22,4/3/2006
458,37,4/3/2006
464,26,4/3/2006
38,73,4/3/2006
269,46,4/3/2006
437,37,4/3/2006
116,10,4/3/2006
165,3,4/3/2006
515,2,4/3/2006
458,25,4/3/2006
116,34,4/3/2006
116,1,4/3/2006
269,17,4/3/2006
515,20,4/3/2006
464,25,4/3/2006
437,50,4/3/2006
8000,38,4/3/2006
116,3,4/3/2006
116,7,4/3/2006
269,26,4/3/2006
262,35,4/3/2006
515,25,4/3/2006
38,5,4/3/2006
515,28,4/3/2006
458,36,4/3/2006
282,38,4/3/2006
455,11,4/3/2006
446,30,4/3/2006
8000,25,4/3/2006
282,24,4/3/2006
515,27,4/3/2006
468,50,3/10/2006
498,47,3/10/2006
8006,31,3/10/2006
116,10,3/10/2006
468,26,3/10/2006
515,50,3/10/2006
269,9,3/10/2006
51,3,3/10/2006
468,32,2/28/2006
262,20,2/28/2006
515,16,2/28/2006
458,58,2/28/2006
282,51,2/28/2006
269,24,2/28/2006
285,1,2/28/2006
468,28,2/28/2006
437,35,2/28/2006
455,1,2/28/2006
515,36,2/28/2006
262,27,2/28/2006
469,56,2/28/2006
458,27,2/28/2006
116,17,2/28/2006
468,34,2/28/2006
51,3,2/28/2006
51,2,2/28/2006
458,13,2/28/2006
498,14,2/28/2006
437,50,2/28/2006
116,1,2/28/2006
116,1,2/28/2006
458,19,2/28/2006
468,24,2/28/2006
268,1,2/28/2006
498,20,2/28/2006
455,51,2/28/2006
116,2,2/28/2006
116,21,2/28/2006
269,18,2/28/2006
140,27,2/28/2006
116,21,2/28/2006
116,6,2/28/2006
269,27,2/28/2006
51,1,2/28/2006
515,27,2/28/2006
8006,25,2/28/2006
469,25,2/28/2006
269,21,2/28/2006
203,25,2/28/2006
498,25,2/28/2006
498,25,2/28/2006
116,7,2/28/2006
446,25,2/28/2006
269,10,2/28/2006
498,31,2/28/2006
116,3,2/28/2006
116,17,2/28/2006
437,25,2/28/2006
515,24,2/28/2006
455,8,2/28/2006
468,20,2/28/2006
116,11,2/28/2006
116,1,2/28/2006
437,22,2/28/2006
498,21,2/28/2006
468,21,2/28/2006
116,38,2/28/2006
116,75,2/28/2006
116,16,3/1/2006
269,23,3/1/2006
468,29,3/1/2006
498,22,3/1/2006
116,1,3/1/2006
455,36,3/1/2006
269,20,3/1/2006
468,21,3/1/2006
498,22,3/1/2006
51,1,3/1/2006
140,22,3/1/2006
262,2,3/1/2006
469,35,3/1/2006
468,26,3/1/2006
515,20,3/1/2006
116,12,3/1/2006
8006,12,3/1/2006
262,4,3/1/2006
262,1,3/1/2006
468,16,3/1/2006
498,28,3/1/2006
116,8,3/1/2006
515,42,3/1/2006
469,50,3/1/2006
282,52,3/1/2006
203,25,3/1/2006
446,25,3/1/2006
468,44,3/1/2006
262,1,3/1/2006
262,4,3/1/2006
515,25,3/1/2006
140,27,3/1/2006
282,50,3/1/2006
269,25,3/1/2006
140,26,3/1/2006
269,17,3/1/2006
116,95,3/1/2006
116,25,3/1/2006
515,28,3/1/2006
458,37,3/1/2006
8006,31,3/1/2006
469,29,3/1/2006
468,21,3/1/2006
268,4,3/1/2006
269,25,3/1/2006
498,26,3/1/2006
116,14,3/1/2006
116,25,3/1/2006
8006,1,3/1/2006
458,27,3/1/2006
269,20,3/1/2006
498,38,3/1/2006
468,25,3/1/2006
269,25,3/1/2006
116,14,3/1/2006
515,22,3/1/2006
498,35,3/1/2006
206,3,3/1/2006
469,26,3/1/2006
515,58,3/1/2006
262,3,3/1/2006
498,25,3/1/2006
116,4,3/1/2006
116,5,3/1/2006
468,27,3/1/2006
269,23,3/1/2006
498,26,3/1/2006
8006,59,3/1/2006
458,31,3/1/2006
282,68,3/1/2006
469,48,3/1/2006
116,2,3/1/2006
116,2,3/1/2006
140,26,3/1/2006
468,25,3/1/2006
498,25,3/1/2006
455,27,3/1/2006
469,57,3/1/2006
468,29,3/1/2006
515,25,3/1/2006
8006,25,3/1/2006
498,28,3/1/2006
116,23,3/2/2006
458,26,3/2/2006
498,32,3/2/2006
468,25,3/2/2006
268,2,3/2/2006
116,17,3/2/2006
468,27,3/2/2006
51,2,3/2/2006
8006,13,3/2/2006
51,1,3/2/2006
116,17,3/2/2006
468,30,3/2/2006
498,27,3/2/2006
116,4,3/2/2006
116,6,3/2/2006
262,9,3/2/2006
515,22,3/2/2006
455,24,3/2/2006
458,33,3/2/2006
437,24,3/2/2006
498,24,3/2/2006
269,26,3/2/2006
515,41,3/2/2006
282,48,3/2/2006
498,28,3/2/2006
458,68,3/2/2006
262,3,3/2/2006
140,24,3/2/2006
498,24,3/2/2006
268,1,3/2/2006
8006,36,3/2/2006
262,8,3/2/2006
116,1,3/2/2006
116,16,3/2/2006
469,51,3/2/2006
203,56,3/2/2006
116,88,3/2/2006
116,38,3/2/2006
8006,28,3/2/2006
437,27,3/2/2006
469,28,3/2/2006
468,25,3/2/2006
498,24,3/2/2006
269,19,3/2/2006
515,30,3/2/2006
469,40,3/2/2006
116,8,3/2/2006
116,1,3/2/2006
116,29,3/2/2006
8006,31,3/2/2006
468,24,3/2/2006
269,20,3/2/2006
8006,24,3/2/2006
437,26,3/2/2006
116,23,3/2/2006
116,4,3/2/2006
468,24,3/2/2006
8006,32,3/2/2006
469,55,3/2/2006
140,24,3/2/2006
468,28,3/2/2006
269,19,3/2/2006
515,24,3/2/2006
437,24,3/2/2006
282,55,3/2/2006
468,28,3/2/2006
437,25,3/2/2006
515,26,3/2/2006
498,24,3/2/2006
140,29,3/2/2006
269,20,3/2/2006
468,26,3/2/2006
8006,29,3/2/2006
515,23,3/2/2006
282,52,3/2/2006
437,24,3/2/2006
469,49,3/2/2006
498,24,3/2/2006
468,21,3/3/2006
8006,24,3/3/2006
458,32,3/3/2006
455,27,3/3/2006
268,6,3/3/2006
515,21,3/3/2006
51,2,3/3/2006
498,24,3/3/2006
51,4,3/3/2006
116,23,3/3/2006
116,1,3/3/2006
498,16,3/3/2006
458,8,3/3/2006
8006,35,3/3/2006
8001,34,3/3/2006
79,16,3/3/2006
116,8,3/3/2006
116,2,3/3/2006
51,3,3/3/2006
468,25,3/3/2006
515,23,3/3/2006
116,6,3/3/2006
262,1,3/3/2006
469,23,3/3/2006
262,2,3/3/2006
